group,family,genus,species,date
Flowering plants,Papaveraceae,Fumaria,Fumaria officinalis,2021-06-08
Flowering plants,Papaveraceae,Papaver,Papaver dubium,2021-06-08
Flowering plants,Plantaginaceae,Plantago,Plantago coronopus,2021-06-08
Flowering plants,Plantaginaceae,Plantago,Plantago lanceolata,2021-06-08
Flowering plants,Plumbaginaceae,Armeria,Armeria maritima,2021-06-08
Flowering plants,Poaceae,Anisantha,Anisantha sterilis,2021-06-08
Flowering plants,Poaceae,Anthoxanthum,Anthoxanthum odoratum,2021-06-08
Flowering plants,Poaceae,Briza,Briza media,2021-06-08
Flowering plants,Poaceae,Dactylis,Dactylis glomerata,2021-06-08
Flowering plants,Poaceae,Danthonia,Danthonia decumbens,2021-06-08
Flowering plants,Poaceae,Hierochloe,Hierochloe odorata,2021-06-08
Flowering plants,Poaceae,Holcus,Holcus mollis,2021-06-08
Flowering plants,Poaceae,Hordeum,Hordeum murinum,2021-06-08
Flowering plants,Polygonaceae,Fallopia,Fallopia convolvulus,2021-06-08
Flowering plants,Polygonaceae,Persicaria,Persicaria maculosa,2021-06-08
Flowering plants,Polygonaceae,Polygonum,Polygonum aviculare,2021-06-08
Flowering plants,Polygonaceae,Reynoutria,Reynoutria japonica,2021-06-08
Flowering plants,Polygonaceae,Reynoutria,Reynoutria sachalinensis,2021-06-08
Flowering plants,Polygonaceae,Rumex,Rumex hydrolapathum,2021-06-08
Flowering plants,Polygonaceae,Rumex,Rumex sanguineus,2021-06-08
Flowering plants,Pontederiaceae,Pontederia,Pontederia cordata,2021-06-08
Flowering plants,Primulaceae,Lysimachia,Lysimachia vulgaris,2021-06-08
Flowering plants,Primulaceae,Primula,Primula scotica,2021-06-08
Flowering plants,Primulaceae,Primula,Primula vulgaris,2021-06-08
Flowering plants,Ranunculaceae,Clematis,Clematis vitalba,2021-06-08
Flowering plants,Ranunculaceae,Ficaria,Ficaria verna,2021-06-08
Flowering plants,Ranunculaceae,Pulsatilla,Pulsatilla vulgaris,2021-06-08
Flowering plants,Ranunculaceae,Ranunculus,Ranunculus acris,2021-06-08
Flowering plants,Ranunculaceae,Ranunculus,Ranunculus bulbosus,2021-06-08
Flowering plants,Ranunculaceae,Trollius,Trollius europaeus,2021-06-08
Flowering plants,Rhamnaceae,Frangula,Frangula alnus,2021-06-08
Flowering plants,Rhamnaceae,Rhamnus,Rhamnus cathartica,2021-06-08
Flowering plants,Rosaceae,Aphanes,Aphanes arvensis,2021-06-08
Flowering plants,Rosaceae,Comarum,Comarum palustre,2021-06-08
Flowering plants,Rosaceae,Crataegus,Crataegus laevigata,2021-06-08
Flowering plants,Rosaceae,Crataegus,Crataegus monogyna,2021-06-08
Flowering plants,Rosaceae,Filipendula,Filipendula ulmaria,2021-06-08
Flowering plants,Rosaceae,Geum,Geum rivale,2021-06-08
Flowering plants,Rosaceae,Geum,Geum urbanum,2021-06-08
Flowering plants,Rosaceae,Malus,Malus sylvestris,2021-06-08
Flowering plants,Rosaceae,Potentilla,Potentilla anserina,2021-06-08
Flowering plants,Rosaceae,Pyrus,Pyrus cordata,2021-06-08
Flowering plants,Rosaceae,Sorbus,Sorbus anglica,2021-06-08
Flowering plants,Rosaceae,Sorbus,Sorbus aria,2021-06-08
Flowering plants,Rosaceae,Sorbus,Sorbus aucuparia,2021-06-08
Flowering plants,Rosaceae,Sorbus,Sorbus devoniensis,2021-06-08
Flowering plants,Rosaceae,Sorbus,Sorbus rupicola,2021-06-08
Flowering plants,Rubiaceae,Cruciata,Cruciata laevipes,2021-06-08
Flowering plants,Rubiaceae,Galium,Galium aparine,2021-06-08
Flowering plants,Rubiaceae,Sherardia,Sherardia arvensis,2021-06-08
Flowering plants,Salicaceae,Populus,Populus tremula,2021-06-08
Flowering plants,Salicaceae,Salix,Salix alba,2021-06-08
Flowering plants,Salicaceae,Salix,Salix lanata,2021-06-08
Flowering plants,Santalaceae,Viscum,Viscum album,2021-06-08
Flowering plants,Sapindaceae,Acer,Acer campestre,2021-06-08
Flowering plants,Sapindaceae,Acer,Acer pseudoplatanus,2021-06-08
Flowering plants,Sapindaceae,Aesculus,Aesculus hippocastanum,2021-06-08
Flowering plants,Sarraceniaceae,Sarracenia,Sarracenia purpurea,2021-06-08
Flowering plants,Saxifragaceae,Chrysosplenium,Chrysosplenium oppositifolium,2021-06-08
Flowering plants,Saxifragaceae,Saxifraga,Saxifraga granulata,2021-06-08
Flowering plants,Saxifragaceae,Saxifraga,Saxifraga oppositifolia,2021-06-08
Flowering plants,Scrophulariaceae,Buddleja,Buddleja davidii,2021-06-08
Flowering plants,Scrophulariaceae,Scrophularia,Scrophularia nodosa,2021-06-08
Flowering plants,Scrophulariaceae,Verbascum,Verbascum thapsus,2021-06-08
Flowering plants,Simaroubaceae,Ailanthus,Ailanthus altissima,2021-06-08
Flowering plants,Solanaceae,Atropa,Atropa belladonna,2021-06-08
Flowering plants,Solanaceae,Solanum,Solanum dulcamara,2021-06-08
Flowering plants,Thymelaeaceae,Daphne,Daphne laureola,2021-06-08
Flowering plants,Thymelaeaceae,Daphne,Daphne mezereum,2021-06-08
Flowering plants,Typhaceae,Typha,Typha latifolia,2021-06-08
Flowering plants,Ulmaceae,Ulmus,Ulmus glabra,2021-06-08
Flowering plants,Ulmaceae,Ulmus,Ulmus minor,2021-06-08
Flowering plants,Urticaceae,Parietaria,Parietaria judaica,2021-06-08
Flowering plants,Urticaceae,Urtica,Urtica dioica,2021-06-08
Flowering plants,Urticaceae,Urtica,Urtica urens,2021-06-08
Flowering plants,Verbenaceae,Verbena,Verbena officinalis,2021-06-08
Flowering plants,Veronicaceae,Chaenorhinum,Chaenorhinum minus,2021-06-08
Flowering plants,Veronicaceae,Linaria,Linaria vulgaris,2021-06-08
Flowering plants,Veronicaceae,Misopates,Misopates orontium,2021-06-08
Flowering plants,Veronicaceae,Veronica,Veronica chamaedrys,2021-06-08
Flowering plants,Veronicaceae,Veronica,Veronica hederifolia,2021-06-08
Flowering plants,Veronicaceae,Veronica,Veronica spicata,2021-06-08
Flowering plants,Violaceae,Viola,Viola odorata,2021-06-08
Flowering plants,Violaceae,Viola,Viola riviniana,2021-06-08
Bryophyte,Amblystegiaceae,Campylium,Campylium stellatum,2021-06-08
Bryophyte,Amblystegiaceae,Palustriella,Palustriella commutata,2021-06-08
Bryophyte,Amblystegiaceae,Palustriella,Palustriella falcata,2021-06-08
Bryophyte,Amphidiaceae,Amphidium,Amphidium lapponicum,2021-06-08
Bryophyte,Amphidiaceae,Amphidium,Amphidium mougeotii,2021-06-08
Bryophyte,Anastrophyllaceae,Anastrepta,Anastrepta orcadensis,2021-06-08
Bryophyte,Anastrophyllaceae,Neoorthocaulis,Neoorthocaulis floerkei,2021-06-08
Bryophyte,Anastrophyllaceae,Orthocaulis,Orthocaulis floerkei,2021-06-08
Bryophyte,Andreaeaceae,Andreaea,Andreaea hookeri,2021-06-08
Bryophyte,Andreaeaceae,Andreaea,Andreaea rothii,2021-06-08
Bryophyte,Aneuraceae,Riccardia,Riccardia palmata,2021-06-08
Bryophyte,Anomodontaceae,Anomodon,Anomodon viticulosus,2021-06-08
Bryophyte,Aongstroemiaceae,Dichodontium,Dichodontium palustre,2021-06-08
Bryophyte,Aongstroemiaceae,Dichodontium,Dichodontium flavescens,2021-06-08
Bryophyte,Aulacomniaceae,Aulacomnium,Aulacomnium palustre,2021-06-08
Bryophyte,Bartramiaceae,Breutelia,Breutelia chrysocoma,2021-06-08
Bryophyte,Bartramiaceae,Philonotis,Philonotis fontana,2021-06-08
Bryophyte,Brachytheciaceae,Homalothecium,Homalothecium sericeum,2021-06-08
Bryophyte,Brachytheciaceae,Kindbergia,Kindbergia praelonga,2021-06-08
Bryophyte,Brachytheciaceae,Pseudoscleropodium,Pseudoscleropodium purum,2021-06-08
Bryophyte,Brachytheciaceae,Rhynchostegium,Rhynchostegium riparioides,2021-06-08
Bryophyte,Brachytheciaceae,Sciuro-hypnum,Sciuro-hypnum plumosum,2021-06-08
Bryophyte,Bryaceae,Bryum,Bryum alpinum,2021-06-08
Bryophyte,Bryaceae,Bryum,Bryum julaceum,2021-06-08
Bryophyte,Bryaceae,Bryum,Bryum capillare,2021-06-08
Bryophyte,Bryaceae,Bryum,Bryum pseudotriquetrum,2021-06-08
Bryophyte,Calliergonaceae,Sarmentypnum,Sarmentypnum exannulatum,2021-06-08
Bryophyte,Calliergonaceae,Sarmentypnum,Sarmentypnum sarmentosum,2021-06-08
Bryophyte,Conocephalaceae,Conocephalum,Conocephalum conicum,2021-06-08
Bryophyte,Conocephalaceae,Conocephalum,Conocephalum salebrosum,2021-06-08
Bryophyte,Dicranaceae,Dicranum,Dicranum majus,2021-06-08
Bryophyte,Dicranaceae,Dicranum,Dicranum scoparium,2021-06-08
Bryophyte,Dicranellaceae,Dicranella,Dicranella heteromalla,2021-06-08
Bryophyte,Ditrichaceae,Ceratodon,Ceratodon purpureus,2021-06-08
Bryophyte,Encalyptaceae,Encalypta,Encalypta streptocarpa,2021-06-08
Bryophyte,Fissidentaceae,Fissidens,Fissidens adianthoides,2021-06-08
Bryophyte,Fissidentaceae,Fissidens,Fissidens osmundoides,2021-06-08
Bryophyte,Fontinalaceae,Fontinalis,Fontinalis antipyretica,2021-06-08
Bryophyte,Frullaniaceae,Frullania,Frullania dilatata,2021-06-08
Bryophyte,Frullaniaceae,Frullania,Frullania tamarisci,2021-06-08
Bryophyte,Grimmiaceae,Grimmia,Grimmia ramondii,2021-06-08
Bryophyte,Grimmiaceae,Racomitrium,Racomitrium lanuginosum,2021-06-08
Bryophyte,Grimmiaceae,Schistidium,Schistidium strictum,2021-06-08
Bryophyte,Gymnomitriaceae,Gymnomitrion,Gymnomitrion obtusum,2021-06-08
Bryophyte,Gymnomitriaceae,Marsupella,Marsupella emarginata,2021-06-08
Bryophyte,Gymnomitriaceae,Nardia,Nardia scalaris,2021-06-08
Bryophyte,Hookeriaceae,Hookeria,Hookeria lucens,2021-06-08
Bryophyte,Hylocomiaceae,Hylocomium,Hylocomium splendens,2021-06-08
Bryophyte,Hylocomiaceae,Pleurozium,Pleurozium schreberi,2021-06-08
Bryophyte,Hylocomiaceae,Rhytidiadelphus,Rhytidiadelphus squarrosus,2021-06-08
Bryophyte,Hylocomiaceae,Rhytidiadelphus,Rhytidiadelphus loreus,2021-06-08
Bryophyte,Hypnaceae,Hypnum,Hypnum andoi,2021-06-08
Bryophyte,Hypnaceae,Hypnum,Hypnum cupressiforme,2021-06-08
Bryophyte,Jungermanniaceae,Jungermannia,Jungermannia eucordifolia,2021-06-08
Bryophyte,Jungermanniaceae,Mesoptychia,Mesoptychia bantriensis,2021-06-08
Bryophyte,Lejeuneaceae,Lejeunea,Lejeunea patens,2021-06-08
Bryophyte,Lembophyllaceae,Isothecium,Isothecium alopecuroides,2021-06-08
Bryophyte,Lembophyllaceae,Isothecium,Isothecium myosuroides,2021-06-08
Bryophyte,Lepidoziaceae,Lepidozia,Lepidozia reptans,2021-06-08
Bryophyte,Leucobryaceae,Campylopus,Campylopus atrovirens,2021-06-08
Bryophyte,Lophocoleaceae,Lophocolea,Lophocolea bidentata,2021-06-08
Bryophyte,Lophoziaceae,Tritomaria,Tritomaria quinquedentata,2021-06-08
Bryophyte,Lunulariaceae,Lunularia,Lunularia cruciata,2021-06-08
Bryophyte,Marchantiaceae,Marchantia,Marchantia quadrata,2021-06-08
Bryophyte,Metzgeriaceae,Metzgeria,Metzgeria furcata,2021-06-08
Bryophyte,Metzgeriaceae,Metzgeria,Metzgeria conjugata,2021-06-08
Bryophyte,Mniaceae,Mnium,Mnium hornum,2021-06-08
Bryophyte,Mniaceae,Plagiomnium,Plagiomnium undulatum,2021-06-08
Bryophyte,Mniaceae,Rhizomnium,Rhizomnium punctatum,2021-06-08
Bryophyte,Myliaceae,Mylia,Mylia taylorii,2021-06-08
Bryophyte,Myuriaceae,Ctenidium,Ctenidium molluscum,2021-06-08
Bryophyte,Neckeraceae,Neckera,Neckera pumila,2021-06-08
Bryophyte,Neckeraceae,Neckera,Neckera crispa,2021-06-08
Bryophyte,Neckeraceae,Thamnobryum,Thamnobryum alopecurum,2021-06-08
Bryophyte,Orthotrichaceae,Pulvigera,Pulvigera lyellii,2021-06-08
Bryophyte,Orthotrichaceae,Zygodon,Zygodon viridissimus,2021-06-08
Bryophyte,Pelliaceae,Pellia,Pellia endiviifolia,2021-06-08
Bryophyte,Pelliaceae,Pellia,Pellia epiphylla,2021-06-08
Bryophyte,Plagiochilaceae,Plagiochila,Plagiochila porelloides,2021-06-08
Bryophyte,Plagiotheciaceae,Plagiothecium,Plagiothecium undulatum,2021-06-08
Bryophyte,Plagiotheciaceae,Plagiothecium,Plagiothecium denticulatum,2021-06-08
Bryophyte,Polytrichaceae,Atrichum,Atrichum undulatum,2021-06-08
Bryophyte,Polytrichaceae,Oligotrichum,Oligotrichum hercynicum,2021-06-08
Bryophyte,Polytrichaceae,Pogonatum,Pogonatum urnigerum,2021-06-08
Bryophyte,Polytrichaceae,Polytrichum,Polytrichum formosum,2021-06-08
Bryophyte,Porellaceae,Porella,Porella arboris-vitae,2021-06-08
Bryophyte,Porellaceae,Porella,Porella cordaeana,2021-06-08
Bryophyte,Pottiaceae,Didymodon,Didymodon insulanus,2021-06-08
Bryophyte,Pottiaceae,Gymnostomum,Gymnostomum aeruginosum,2021-06-08
Bryophyte,Pottiaceae,Tortella,Tortella tortuosa,2021-06-08
Bryophyte,Ptilidiaceae,Ptilidium,Ptilidium ciliare,2021-06-08
Bryophyte,Ptychomitriaceae,Ptychomitrium,Ptychomitrium polyphyllum,2021-06-08
Bryophyte,Pylaisiaceae,Calliergonella,Calliergonella cuspidata,2021-06-08
Bryophyte,Pylaisiaceae,Ptilium,Ptilium crista-castrensis,2021-06-08
Bryophyte,Radulaceae,Radula,Radula complanata,2021-06-08
Bryophyte,Rhabdoweisiaceae,Dicranoweisia,Dicranoweisia cirrata,2021-06-08
Bryophyte,Rhabdoweisiaceae,Kiaeria,Kiaeria blyttii,2021-06-08
Bryophyte,Scapaniaceae,Diplophyllum,Diplophyllum albicans,2021-06-08
Bryophyte,Scorpidiaceae,Hygrohypnella,Hygrohypnella ochracea,2021-06-08
Bryophyte,Scorpidiaceae,Sanionia,Sanionia uncinata,2021-06-08
Bryophyte,Scorpidiaceae,Scorpidium,Scorpidium cossonii,2021-06-08
Bryophyte,Scorpidiaceae,Scorpidium,Scorpidium revolvens,2021-06-08
Bryophyte,Scorpidiaceae,Scorpidium,Scorpidium scorpioides,2021-06-08
