genus,family,order,group,county,county_lat,county_lon,taxon_name,collector_number,GS_2C,GS_1C,GS_gb,id,collector_name,collection_location,longitude_decimal,latitude_decimal,collection_date_verbatim
Ailanthus,Simaroubaceae,Sapindales,Angiosperms,Greater London,51.490777,-0.082497,Ailanthus altissima,MC 9059,2.4,1.2,1.1736,60133,Maarten J. M. Christenhusz,"Greater London, RBG Kew, Jodrell Gate, growing in pavement near the Jodrell Laboratory",-0.2879,51.482,27/08/2020
Lycopus,Lamiaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Lycopus europaeus,MC 9016,NO DATA,RECOLLECT,,60134,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4207,06/08/2020
Lythrum,Lythraceae,Myrtales,Angiosperms,Greater London,51.490777,-0.082497,Lythrum salicaria,MC 9015,3.24,1.62,1.58436,60135,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4207,06/08/2020
Vicia,Fabaceae,Fabales,Angiosperms,Greater London,51.490777,-0.082497,Vicia cracca,MC 9033,17.61,8.81,8.61618,60136,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4212,12/08/2020
Solanum,Solanaceae,Solanales,Angiosperms,Greater London,51.490777,-0.082497,Solanum dulcamara,MC 9032,2.47,1.24,1.21272,60137,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4212,12/08/2020
Fallopia,Polygonaceae,Caryophyllales,Angiosperms,Greater London,51.490777,-0.082497,Fallopia convolvulus,MC 9031,1.39,0.7,0.6846,60138,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, weed in the rose beds",-0.3044,51.4192,12/08/2020
Calystegia,Convolvulaceae,Solanales,Angiosperms,Greater London,51.490777,-0.082497,Calystegia sepium,MC 9014,1.48,0.74,0.72372,60139,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames.",-0.3051,51.4207,06/08/2020
Persicaria,Polygonaceae,Caryophyllales,Angiosperms,Greater London,51.490777,-0.082497,Persicaria maculosa,MC 9013,3.46,1.73,1.69194,60140,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames.",-0.3051,51.4207,06/08/2020
Urtica,Urticaceae,Rosales,Angiosperms,Greater London,51.490777,-0.082497,Urtica dioica,MC 9012,2.45,1.23,1.20294,60141,Maarten J. M. Christenhusz,"Greater London, RBG Kew, Queen Charlotte's cottage, on a wood pile.",-0.3035,51.4725,05/08/2020
Holcus,Poaceae,Poales,Angiosperms,Greater London,51.490777,-0.082497,Holcus mollis,MC 9010,7.63,3.81,3.72618,60142,Maarten J. M. Christenhusz,"Greater London, RBG Kew, weed in Rosaceae bed 437",-0.2959,51.4729,05/08/2020
Urtica,Urticaceae,Rosales,Angiosperms,Greater London,51.490777,-0.082497,Urtica urens,MC 9011,1.02,0.51,0.49878,60143,Maarten J. M. Christenhusz,"Greater London, RBG Kew, Queen Charlotte's cottage, on a wood pile.",-0.3035,51.4725,05/08/2020
Fumaria,Papaveraceae,Ranunculales,Angiosperms,Greater London,51.490777,-0.082497,Fumaria officinalis,MC 9008,1.29,0.64,0.62592,60144,Maarten J. M. Christenhusz,"Greater London, RBG Kew, Queen Charlotte's cottage, on a wood pile.",-0.3035,51.4725,05/08/2020
Papaver,Papaveraceae,Ranunculales,Angiosperms,Greater London,51.490777,-0.082497,Papaver dubium,MC 9007,4.84,2.42,2.36676,60145,Maarten J. M. Christenhusz,"Greater London, RBG Kew, lawn behind Temperate House",-0.2955,51.475,05/08/2020
Euphorbia,Euphorbiaceae,Malpighiales,Angiosperms,Greater London,51.490777,-0.082497,Euphorbia peplus,MC 9009,0.8,0.4,0.3912,60146,Maarten J. M. Christenhusz,"Greater London, RBG Kew, weed in Rosaceae bed 437",-0.2959,51.4729,05/08/2020
Atropa,Solanaceae,Solanales,Angiosperms,Greater London,51.490777,-0.082497,Atropa belladonna,MC 9006,4.29,2.15,2.1027,60147,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Tenrec Hall, 200 Richmond Road",-0.3018,51.4208,05/08/2020
Circaea,Onagraceae,Myrtales,Angiosperms,Greater London,51.490777,-0.082497,Circaea lutetiana,MC 9005,1.23,0.61,0.59658,60148,Maarten J. M. Christenhusz,"Greater London, RBG Kew, weed in woodland garden",-0.2898,51.4805,04/08/2020
Impatiens,Balsaminaceae,Ericales,Angiosperms,Greater London,51.490777,-0.082497,Impatiens noli-tangere,MC 9004,1.54,0.77,0.75306,60149,Maarten J. M. Christenhusz,"Greater London, RBG Kew, weed in woodland garden",-0.2898,51.4805,04/08/2020
