order_copo,family_copo,genus_copo,taxon_name,collector_number,latitude_decimal,longitude_decimal,collection_date_verbatim
Jungermanniales,Plagiochilaceae,Plagiochila,Plagiochila porelloides,D. Bell 1434,55.461854,-3.374239,2020-09-23
Jungermanniales,Gymnomitriaceae,Marsupella,Marsupella emarginata,DBELL1430,55.462222,-3.374236,2020-09-23
Jungermanniales,Gymnomitriaceae,Marsupella,Marsupella emarginata,DBELL1430,55.462222,-3.374236,2020-09-23
Metzgeriales,Aneuraceae,Riccardia,Riccardia palmata,DBELL1444,55.600865,-3.321536,2020-10-01
Metzgeriales,Aneuraceae,Riccardia,Riccardia palmata,DBELL1444,55.600865,-3.321536,2020-10-01
Porellales,Porellaceae,Porella,Porella cordaeana,DBELL1446,55.600306,-3.319263,2020-10-01
Porellales,Porellaceae,Porella,Porella cordaeana,DBELL1446,55.600306,-3.319263,2020-10-01
Metzgeriales,Metzgeriaceae,Metzgeria,Metzgeria furcata,DBELL1466,55.740563,-2.633195,2020-10-30
Metzgeriales,Metzgeriaceae,Metzgeria,Metzgeria furcata,DBELL1466,55.740563,-2.633195,2020-10-30
Porellales,Radulaceae,Radula,Radula complanata,DBELL1470,55.745508,-2.622187,2020-10-30
Porellales,Radulaceae,Radula,Radula complanata,DBELL1470,55.745508,-2.622187,2020-10-30
Porellales,Frullaniaceae,Frullania,Frullania dilatata,DBELL1471,55.745798,-2.62165,2020-10-30
Porellales,Frullaniaceae,Frullania,Frullania dilatata,DBELL1471,55.745798,-2.62165,2020-10-30
Jungermanniales,Lepidoziaceae,Lepidozia,Lepidozia reptans,DBELL1472,55.743356,-2.630054,2020-10-30
Jungermanniales,Lepidoziaceae,Lepidozia,Lepidozia reptans,DBELL1472,55.743356,-2.630054,2020-10-30
Jungermanniales,Lophocoleaceae,Lophocolea,Lophocolea bidentata,DBELL1475,55.743543,-2.630392,2020-10-30
Jungermanniales,Lophocoleaceae,Lophocolea,Lophocolea bidentata,DBELL1475,55.743543,-2.630392,2020-10-30
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2020-11-23
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2020-11-23
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2020-11-23
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2020-11-23
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2020-11-23
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2020-11-23
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2020-11-23
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2020-11-23
Porellales,Porellaceae,Porella,Porella cordaeana,DBELL1446,55.600306,-3.319263,2020-10-01
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,DBELL1482,55.964093,-3.202813,2021-05-17
Pelliales,Pelliaceae,Apopellia,Apopellia endiviifolia,DBELL1518,55.415295,-3.343835,2021-04-22
Pelliales,Pelliaceae,Apopellia,Apopellia endiviifolia,DBELL1518,55.415295,-3.343835,2021-04-22
Pelliales,Pelliaceae,Apopellia,Apopellia endiviifolia,DBELL1518,55.415295,-3.343835,2021-04-22
Pelliales,Pelliaceae,Apopellia,Apopellia endiviifolia,DBELL1518,55.415295,-3.343835,2021-04-22
Pelliales,Pelliaceae,Apopellia,Apopellia endiviifolia,DBELL1518,55.415295,-3.343835,2021-04-22
Pelliales,Pelliaceae,Apopellia,Apopellia endiviifolia,DBELL1518,55.415295,-3.343835,2021-04-22
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Pleuroziales,Pleuroziaceae,Pleurozia,Pleurozia purpurea,DBELL1584,57.606064,-5.3881822,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus hutchinsiae,DBELL1585,57.601869,-5.3937359,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Mastigophoraceae,Mastigophora,Mastigophora woodsii,DBELL1590,57.604936,-5.3583701,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Harpanthaceae,Harpanthus,Harpanthus flotovianus,DBELL1589,57.602316,-5.3955023,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Herbertaceae,Herbertus,Herbertus borealis,DBELL1574,57.604357,-5.3517525,2021-06-21
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia exsertifolia,DBELL1500,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Myliaceae,Mylia,Mylia taylorii,DBELL1499,55.468236,-3.372515,2021-03-12
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Jungermanniales,Herbertaceae,Herbertus,Herbertus stramineus,DBELL1571,56.541595,-4.2246355,2021-06-14
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Marchantiales,Marchantiaceae,Marchantia,Marchantia quadrata,DBELL1493,55.468435,-3.370845,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
Porellales,Porellaceae,Porella,Porella arboris-vitae,DBELL1502,55.468123,-3.371388,2021-03-12
