species,GB
Pleurozia purpurea,1.31
Herbertus hutchinsiae,1.25
Bazzania sp.,0.77
Scapania ornthopodioides,1.18
Harpanthus flotovianus,0.83
Mastigophora woodsii,2.62
Pterigynandrum filiforme,0.37
Flexitrichum gracile,0.28
Meesia uliginosa,0.75
Bartramia pomiformis,0.38
Bartramia tricrenata,0.89
Anastrophyllum donnianum,0.80
Plagiochila spinulosa,1.68
Scapania gracilis,0.39
Leucobryum glaucum,0.52
Splachnum sphaericum,0.23
Odontites vernus subsp. serotinus,0.59
Robinia pseudoacacia,0.77
Populus alba,0.50
Pytolacca acinosa,3.04
Lathyrus aphaca,4.76
Quercus cerris,0.96
Quercus ilex,1.02
Nardus stricta,1.95
Digitaria sanguinalis,1.14
Rosa agrestis,1.45
Rosa rubiginosa,1.41
Rosa canina,1.14
Claytonia sibirica,3.69
Drosera rotundiflora,1.45
Medicago lupulina,0.73
Geranium robertianum,1.28
Stachys sylvatica,1.38
Phalaris arundinacea,4.93
Anglica sylvestris,2.70
Cirsium palustre,1.38
Veronica montana,0.73
Sanicula europaea,1.32
Galium odoratum,0.82
Agrostis capillaris,3.16
Festuca heterophylla,5.46
Agrostis stolonifera,3.24
Phleum pratense subsp. bertolonii,1.62
Bromus interruptus,10.33
Ornithopus perpusillus,0.67
Polypogon viridis,3.44
Epilobium hirsutum,0.46
Leontodon hispidus,2.14
Glyceria maxima,6.49
Nuphar lutea,2.65
Nymphaea alba,2.12
Parnassia palustris,2.30
Pinguicula vulgaris,0.73
Festuca ovina,4.59
Plantago lanceolata,1.46
Lotus corniculatus,1.27
Sanguisorba minor,0.58
Carex panicea,0.80
Agrostis capillaris,3.16
Scabiosa columbaria,1.24
Koeleria macrantha,1.12
Carex flacca,1.26
Linum catharticum,0.71
Carex caryophyllea,0.61
Potentilla erecta,0.74
Carex pulicans,0.38
Campanula rotundifolia,2.13
Hypericum pulchrum,0.46
Gentianella amarella,5.09
Achillea ptarmica,3.59
Helictochloa pratensis,19.06
Briza media,3.32
Anthoxanthum odoratum,6.36
Helianthemum nummularium,3.13
Danthonia decumbens,2.55
Succisa pratensis,2.71
Viola riviniana,1.30
Carex hostiana,0.43
Thymus praecox,1.22
Dactylis glomerata,4.11
Quercus petraea,0.96
Potamogeton natans,0.89
Lapsana communis,1.23
Centauria nigra,2.04
Elodea nuttallii,4.06
Sonchus asper,0.80
Cirsium vulgare,2.70
Carex remota,0.46
Sonchus arvensis,4.66
Atriplex laciniata,0.85
Centaurium erythrea,1.15
Tripolium pannonicum,9.76
Lobelia dortmanna,1.08
Sedum anglicum,1.88
Euphorbia paralias,0.86
Kali turgidum,1.68
Pyrola rotundifolia,3.70
Parnassia palustris,1.30
Calystegia soldanella,0.81
Torilis japonica,0.67
Plantago maritima,1.32
Samolus valerandi,0.65
Heliosciadium  nodoflorum,0.94
Jasione montana,1.77
Umbilicus rupestris,1.86
Glaucium flavum,1.12
Asplenium marinum,9.19
Asplenium trichomanes subsp quadrivalens,9.06
Asplenium ceterach,9.29
Epipactis palustris,15.89
Equisetum variegatum,30.80
Arctostaphylos uva-ursi,1.88
Juncus trifidus,0.35
Polemonium caeruleum,6.49
Erica cinerea,0.44
Trifolium dubium,0.82
Scorzoneroides autumnalis,1.91
Cirsium arvense,1.54
Lathyrus pratensis,11.13
Salix phylicifolia,1.19
Plantago major,0.83
Armoracia rusticana,0.77
Phragmites australis,1.05
Potentilla fruticosa,0.58
Dryas octopetala,0.30
Salix lapponum,0.43
Fragaria vesca,0.28
Galium verum,1.73
Saponaria officinalis,2.21
Helminthotheca echioides,0.69
Medicago sativa,1.65
Trifolium arvense,0.47
Galega officinalis,2.15
Artemisia vulgaris,3.38
Dryopteris filix-mas,12.09
Geranium sanguineum,4.31
Atriplex littoralis,0.90
Campanula glomerata,1.79
Thalictrum minus,1.17
Blackstonia perfoliata,1.58
Origanum vulgare,0.80
Inula conyza,3.83
Stratiotes aloides,5.38
Agrimonia eupatoria,2.98
Achillea millefolium,7.29
Polystichum setiferum,7.83
Ruscus aculeatus,11.59
Hedera hibernica,3.16
Gunnera  tinctoria,10.97
Gunnera  manicata,11.01
Verbascum nigrum,0.44
Lolium perenne,3.29
Pseudotsuga menziesii,17.80
Rubus idaeus,0.35
