Plant group,Taxonomic Division,Family,Genus,Species,NCBI name (if different),Status,Priority,Collected in 2020,"""Black list"" (collected/sequenced by others)",Collected by RBGE after jan2021,Collected by RBGE after jan2022,Shipping,Notes
bryophyte,Liverwort,Fossombroniaceae,Fossombronia,husnotii,,dtol,,,,,,,
bryophyte,Liverwort,Fossombroniaceae,Fossombronia,incurva,,dtol,,,,,,,
bryophyte,Liverwort,Fossombroniaceae,Fossombronia,maritima,,dtol,,,,,,,
bryophyte,Liverwort,Fossombroniaceae,Fossombronia,mittenii,,dtol,,,,,,,
bryophyte,Liverwort,Fossombroniaceae,Fossombronia,pusilla,,dtol_other_priority,yes,,,,,,
bryophyte,Liverwort,Fossombroniaceae,Fossombronia,wondraczekii,,dtol_family_representative,yes,,,,,,
bryophyte,Liverwort,Frullaniaceae,Frullania,dilatata,,dtol_other_priority,yes,yes,,,,RBGE_0003,
bryophyte,Liverwort,Frullaniaceae,Frullania,fragilifolia,,dtol,,,,,,,
bryophyte,Liverwort,Frullaniaceae,Frullania,microphylla,,dtol,,,,,,,
bryophyte,Liverwort,Frullaniaceae,Frullania,tamarisci,,dtol_family_representative,yes,yes,,,,RBGE_0002,
bryophyte,Liverwort,Frullaniaceae,Frullania,teneriffae,,dtol,,,,,,,
bryophyte,Liverwort,Geocalycaceae,Geocalyx,graveolens,,dtol_family_representative,yes,,,,,,"Very rare, small colonies"
bryophyte,Liverwort,Gymnomitriaceae,Gymnomitrion,adustum,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Gymnomitrion,alpinum,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Gymnomitrion,brevissimum,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Gymnomitrion,concinnatum,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Gymnomitrion,corallioides,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Gymnomitrion,crenulatum,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Gymnomitrion,obtusum,,dtol,,,,yes,,RBGE_000014,
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,apiculata,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,aquatica,,dtol,,,,yes,,,
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,arctica,,dtol,,,,,,,
bryophyte,Liverwort,Gymnomitriaceae,Marsupella,boeckii,,dtol,,,,,,,
